0	0
-46	-19
-71	-71
-57	-137
0	-196
92	-223
201	-201
300	-124
362	0
365	151
301	301
173	417
0	473
-187	452
-355	355
-471	195
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
149	-490
284	-426
396	-325
473	-196
509	-50
502	100
451	241
362	362
241	451
100	502
-50	509
-196	473
-325	396
-426	284
-490	149
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
241	-451
426	-284
509	-50
473	196
325	396
100	502
-149	490
-362	362
-490	149
-502	-100
-396	-325
-196	-473
50	-509
284	-426
451	-241
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
490	149
426	284
325	396
196	473
50	509
-100	502
-241	451
-362	362
-451	241
-502	100
-509	-50
-473	-196
-396	-325
-284	-426
-149	-490
0	-512
241	-451
426	-284
509	-50
473	196
325	396
100	502
-149	490
-362	362
-490	149
-502	-100
-396	-325
-196	-473
50	-509
284	-426
451	-241
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
490	149
426	284
325	396
196	473
50	509
-100	502
-241	451
-362	362
-451	241
-502	100
-509	-50
-473	-196
-396	-325
-284	-426
-149	-490
0	-512
241	-451
426	-284
509	-50
473	196
325	396
100	502
-149	490
-362	362
-490	149
-502	-100
-396	-325
-196	-473
50	-509
284	-426
451	-241
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
241	-451
426	-284
509	-50
473	196
325	396
100	502
-149	490
-362	362
-490	149
-502	-100
-396	-325
-196	-473
50	-509
284	-426
451	-241
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
149	-490
284	-426
396	-325
473	-196
509	-50
502	100
451	241
362	362
241	451
100	502
-50	509
-196	473
-325	396
-426	284
-490	149
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
149	-490
284	-426
396	-325
473	-196
509	-50
502	100
451	241
362	362
241	451
100	502
-50	509
-196	473
-325	396
-426	284
-490	149
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-451	-241
-284	-426
-50	-509
196	-473
396	-325
502	-100
490	149
362	362
149	490
-100	502
-325	396
-473	196
-509	-50
-426	-284
-241	-451
0	-512
241	-451
426	-284
509	-50
473	196
325	396
100	502
-149	490
-362	362
-490	149
-502	-100
-396	-325
-196	-473
50	-509
284	-426
451	-241
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
490	149
426	284
325	396
196	473
50	509
-100	502
-241	451
-362	362
-451	241
-502	100
-509	-50
-473	-196
-396	-325
-284	-426
-149	-490
0	-512
149	-490
284	-426
396	-325
473	-196
509	-50
502	100
451	241
362	362
241	451
100	502
-50	509
-196	473
-325	396
-426	284
-490	149
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-149	490
-284	426
-396	325
-473	196
-509	50
-502	-100
-451	-241
-362	-362
-241	-451
-100	-502
50	-509
196	-473
325	-396
426	-284
490	-149
512	0
451	241
284	426
50	509
-196	473
-396	325
-502	100
-490	-149
-362	-362
-149	-490
100	-502
325	-396
473	-196
509	50
426	284
241	451
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
490	-149
502	100
396	325
196	473
-50	509
-284	426
-451	241
-512	0
-490	-149
-426	-284
-325	-396
-196	-473
-50	-509
100	-502
241	-451
362	-362
451	-241
502	-100
509	50
473	196
396	325
284	426
149	490
0	512
-241	451
-426	284
-509	50
-473	-196
-325	-396
-100	-502
149	-490
362	-362
